institution,institution_type,ministry,institution_size,recruitment_volume,avg_salary,executive_salary,region,hiring_rate,salary_gap_ratio,synthetic_employee_count,avg_quit_probability,avg_expected_total_tenure,high_risk_employee_ratio,avg_burnout_risk_score,high_burnout_employee_ratio,avg_vacation_usage_rate,avg_overtime_hours,salary_percentile,hiring_rate_percentile,quit_risk_percentile,org_health_score,org_health_level,hiring_competitiveness_score,hiring_competitiveness_level,risk_signal_summary,flex_time_ratio,remote_ratio,compress_ratio
(사)남북교류협력지원협회,기타공공기관,통일부,40.0,12.0,60861.0,,서울특별시,0.3,,30,0.3626666666666667,10.5,0.13333333333333333,35.9,0.16666666666666666,0.6686666666666666,11.366666666666667,0.26239067055393583,0.9970845481049563,0.6384839650145773,53.5,medium,49.5,medium,전반적으로 안정,0.9029,0.0795,0.0176
(재)예술경영지원센터,기타공공기관,문화체육관광부,73.0,4.0,48913.0,114338.0,서울특별시,0.0547945205479452,2.337578966736859,30,0.3143333333333333,12.033333333333333,0.06666666666666667,32.333333333333336,0.1,0.6883333333333332,10.6,0.043731778425655975,0.6355685131195336,0.05539358600583091,71.5,high,42.2,medium,채용경쟁력 낮음,0.8972,0.0802,0.0226
(재)우체국금융개발원,준정부기관(위탁집행형),과학기술정보통신부,851.0,40.0,57780.0,189767.0,서울특별시,0.0470035252643948,3.284302526825891,30,0.47833333333333333,10.133333333333333,0.36666666666666664,37.56666666666667,0.16666666666666666,0.6526666666666666,13.033333333333333,0.17201166180758018,0.521865889212828,0.9854227405247813,25.2,low,21.3,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.8899,0.0888,0.0213
(재)우체국물류지원단,준정부기관(위탁집행형),과학기술정보통신부,1480.5,66.0,58397.0,188447.0,서울특별시,0.044579533941236,3.226997962224087,44,0.33136363636363636,10.659090909090908,0.045454545454545456,30.068181818181817,0.09090909090909091,0.7111363636363636,9.818181818181818,0.1924198250728863,0.4956268221574344,0.21574344023323616,63.3,medium,36.7,low,채용경쟁력 낮음,0.8778,0.0979,0.0243
(재)우체국시설관리단,기타공공기관,과학기술정보통신부,2279.0,4.0,68208.0,198674.0,서울특별시,0.0017551557700745,2.912766830870279,68,0.3486764705882353,10.955882352941176,0.08823529411764706,31.91176470588235,0.08823529411764706,0.6801470588235294,11.088235294117647,0.4577259475218659,0.04081632653061224,0.5189504373177842,63.6,medium,38.0,low,채용경쟁력 낮음,0.8757,0.0947,0.0296
(재)일제강제동원피해자지원재단,기타공공기관,행정안전부,52.0,5.0,54225.0,100729.0,서울특별시,0.0961538461538461,1.8576118026740436,30,0.37866666666666665,10.833333333333334,0.2,39.13333333333333,0.16666666666666666,0.6613333333333333,12.133333333333333,0.10787172011661808,0.8862973760932945,0.7259475218658892,50.7,medium,35.0,low,퇴사위험 상위권 | 채용경쟁력 낮음,0.9087,0.0747,0.0166
(재)축산환경관리원,기타공공기관,농림축산식품부,48.0,4.0,68622.0,150068.0,세종특별자치시,0.0833333333333333,2.186878843519571,30,0.478,9.833333333333334,0.4666666666666667,35.4,0.2,0.6579999999999999,13.866666666666667,0.478134110787172,0.8425655976676385,0.9825072886297376,26.0,low,26.2,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9245,0.0582,0.0173
(재)한국보건의료정보원,기타공공기관,보건복지부,119.0,9.0,60513.0,203430.0,서울특별시,0.0756302521008403,3.3617569778394727,30,0.30033333333333334,11.066666666666666,0.03333333333333333,20.8,0.03333333333333333,0.7226666666666667,8.233333333333333,0.2478134110787172,0.8163265306122449,0.02040816326530612,73.7,high,44.2,medium,채용경쟁력 낮음,0.9153,0.0684,0.0163
(재)한국우편사업진흥원,기타공공기관,과학기술정보통신부,504.0,14.0,60845.0,207581.0,서울특별시,0.0277777777777777,3.411636124578848,30,0.3186666666666667,11.666666666666666,0.1,28.933333333333334,0.06666666666666667,0.708,9.466666666666667,0.2594752186588921,0.23323615160349853,0.09766763848396501,68.6,medium,43.0,medium,채용경쟁력 낮음,0.8941,0.0819,0.0239
(재)한국통계정보원,기타공공기관,국가데이터처,170.0,0.0,57779.0,147200.0,대전광역시,0.0,2.547638415341214,30,0.37433333333333335,10.566666666666666,0.13333333333333333,32.7,0.16666666666666666,0.6866666666666668,12.733333333333333,0.16909620991253643,0.016034985422740525,0.7113702623906706,54.0,medium,29.6,low,퇴사위험 상위권 | 채용경쟁력 낮음,0.9288,0.0525,0.0188
(주)강원랜드,공기업(시장형),산업통상부,3689.0,191.0,81514.0,157376.0,강원도,0.0517755489292491,1.9306622175331845,110,0.31381818181818183,11.254545454545454,0.045454545454545456,23.827272727272728,0.07272727272727272,0.7140000000000001,10.627272727272727,0.7580174927113703,0.6064139941690962,0.04956268221574344,79.8,high,50.8,medium,전반적으로 안정,0.8753,0.0953,0.0293
(주)공영홈쇼핑,기타공공기관,중소벤처기업부,382.0,14.0,73683.0,168640.0,서울특별시,0.0366492146596858,2.288723314740171,30,0.36633333333333334,9.466666666666667,0.06666666666666667,33.833333333333336,0.1,0.6679999999999999,11.633333333333333,0.5947521865889213,0.3498542274052478,0.6647230320699709,56.6,medium,33.1,low,채용경쟁력 낮음,0.8879,0.0953,0.0167
(주)한국가스기술공사,공기업(준시장형),산업통상부,2358.0,182.0,77183.0,158685.0,대전광역시,0.0771840542832909,2.055957918194421,70,0.332,11.457142857142857,0.1,28.814285714285713,0.08571428571428572,0.692,11.342857142857143,0.673469387755102,0.8221574344023324,0.2303206997084548,73.2,high,50.1,medium,전반적으로 안정,0.8844,0.0853,0.0303
